1,1,10101001,第1题 试题编号：10101001,标准大气条件下的平均海平面温度是()。,0℃,10℃,15℃,25℃,C,13
2,2,10101002,第2题	试题编号：10101002,标准大气条件下，11KM以下的气温直减率是()。,0.65℃/100m,1.0℃/100m,-0.1℃/100m,是一个变化的量,A,
170,170,10107019,第170题	试题编号：10107019,我国北方某机场正位于冷锋后的冷高压前沿,则该机场可能出现的天气是()。,晴天,有辐射雾,阴天,小雨和低云,平流雾,能见度极差,晴天,大风和风沙天气,D,
171,171,10107020,第171题	试题编号：10107020,稳定的缓行冷锋具有()的特征。,空中槽前倾,锋面坡度很大,强雷暴带,空中槽后倾,D,
172,172,10107021,第172题	试题编号：10107021,航空器在3000m以下水平穿越冷锋，由暖区进入冷区时()。,云系底高会由低变高,云系底高会由高变低,云系会越来越厚,气压会由高变低,A,
173,173,10107022,第173题	试题编号：10107022,()会引起地面冷锋移速加快。,冷空气由黄土高原进入华北地区,冷锋到达天山北麓,锋面开始锢囚,锋面到达华南沿海,A,
174,174,10107023,第174题	试题编号：10107023,()会引起锋面波动。,冷锋后部有新的冷空气侵入,冷锋到达华南沿海,开始锢囚的锋面,入海冷锋,A,
175,175,20107024,第175题	试题编号：20107024,向冷空气一侧移动的锋面是冷锋；向暖空气一侧移动的锋面是暖锋；24小时移动不超过1个纬距的是准静止锋。,T,F,,,F,
176,176,20107025,第176题	试题编号：20107025,在锋的两侧,常有明显的气温差、露点差,风呈气旋性切变,锋线大多处于明显的低压槽中。,T,F,,,T,
177,177,20107026,第177题	试题编号：20107026,在锋的两侧，通常冷气团内水汽较多，暖气团内水汽较少。,T,F,,,F,
178,178,20107027,第178题	试题编号：20107027,同一条冷锋，其锋线上的天气并不是处处相同。,T,F,,,T,
179,179,20107028,第179题	试题编号：20107028,暖锋附近颠簸强度比冷锋强。,T,F,,,F,
180,180,20107029,第180题	试题编号：20107029,若暖气团处于暖湿不稳定状态，则在锋面的层状云中常隐藏着积雨云。,T,F,,,T,
181,181,10108001,第181题	试题编号：10108001,航空器起飞着陆时使用跑道主要取决于()。,小于,等于,大于,二者不可比较,A,
182,183,10108003,第183题	试题编号：10108003,农业作业飞行的最低天气标准，平原地区是（）。,云高不低于100m,能见度不小于3km,云高不低于150m,能见度不小于5km,云高不低于200m,能见度不小于5km,云高不低于300m,能见度不小于5km,B,
183,184,10108004,第184题	试题编号：10108004,形成风沙的条件是存在强风和()。,强烈的风速切变,强烈的风向切变,干硬的土质,干松的土质,D,
184,185,10108005,第185题	试题编号：10108005,辐射雾是指地面辐射冷却使贴地层变冷而形成的雾,其形成的有利条件是()。,晴朗的夜间,有强烈的地面有效辐射,近地面气层水汽含量充沛,有稳定的温度层结,低层有微风和一定强度的湍流,以上全对,D,
185,186,10108006,第186题	试题编号：10108006,当跑道能见度低于()时进行RVR观测。,1500m,1000m,800m,550m,A,
186,187,10108007,第187题	试题编号：10108007,雾(FG)是指能见度()。,<800m,>1000m,<1000m,<10000m,C,
187,188,10108008,第188题	试题编号：10108008,轻雾表示能见度至少()。,2000m,1500m,1000m,800m,C,
188,189,10108009,第189题	试题编号：10108009,形成辐射雾的气象条件是()。,冬季在水汽丰沛的冷高压中心,有轻风的夜晚,阴云密布的傍晚,强对流活动区域的中心,夏季低压中心,带有强风的不稳定区,A,
189,190,10108010,第190题	试题编号：10108010,当降落站报告有大雾,机场能见度不好时,可认为()。,有胞线在机场上空活动,机场上空可能会发生雷暴,机场上空大气是不稳定的,机场上空大气是稳定的,D,
190,191,10108011,第191题	试题编号：10108011,()是形成上坡雾的必要条件。,空气潮湿,气层稳定、有缓慢一致的向山坡上运动的气流,空气干燥、气层极不稳定,潮湿、静风、降水,空气干燥、风速很小,A,
191,192,10108012,第192题	试题编号：10108012,平流雾是由()形成的。,辐射冷却,干冷空气流经暖而湿的下垫面,暖而湿的空气流经冷的下垫面逐渐冷却,暖湿空气上坡,C,
192,193,10108013,第193题	试题编号：10108013,雾的定义是:由于空气中含有大量水汽使能见度()。,小于1km的天气现象,为1到10km的天气现象,低于15km的天气现象,低于20km的天气现象,A,
193,194,10108014,第194题	试题编号：10108014,辐射雾常发生于()中心。,夏季、低压区,冬季、高压区,副热带高压区,锋面低压,B,
194,195,10108015,第195题	试题编号：10108015,观测站四周一半及一半以上的视野范围都能达到的能见度叫()。,主导能见度,最小能见度,跑道能见度,着陆能见度,A,
195,196,10108016,第196题	试题编号：10108016,当机场被积雪覆盖时,会大大减小的是()。,和跑道视程相当,小于跑道视程,大于跑道视程,大于水平能见度,B,
196,198,10108018,第198题	试题编号：10108018,锋面雾多出现在()。,暖锋前后,冷锋前后,静止锋前后,锢囚锋前后,A,
197,199,10108019,第199题	试题编号：10108019,一般情况下,辐射雾最浓的时间在()。,上半夜,下半夜,日出时,上午,C,
198,200,10108020,第200题	试题编号：10108020,我国平流雾出现的季节主要在()。,春、夏季,夏、秋季,秋、冬季,冬、春季,A,
199,201,10108021,第201题	试题编号：10108021,我国辐射雾出现的季节主要在()。,春、夏季,夏、秋季,秋、冬季,冬、春季,C,
200,202,10108022,第202题	试题编号：10108022,霾形成在()。,冬季、缓行冷锋前缘有稳定层结的回暖区域中,夏季、副热带高压边缘不稳定区域中,冬季、冷锋后部的大风区中,夏季、急行冷锋降水区中,A,
201,203,10108023,第203题	试题编号：10108023,在对流层顶下飞行,影响能见度的天气现象是()。,雾,霾,风沙,浮尘,B,
202,204,10108024,第204题	试题编号：10108024,白天有平流雾移到沿海机场,什么原因使平流雾消散或抬升而形成低云()。,地面辐射冷却,下垫面干燥,地面风速≥8m/s,气温露点差减小,C,
203,205,10108025,第205题	试题编号：10108025,烟幕和逆温层的正确关系是()。,烟幕可出现在不同高度的几个逆温层下,烟幕只出现在地面附近高度较低的逆温层下,逆温层越高,烟幕就越厚,可到对流层顶,在大气不稳定时,烟幕可抬升而形成霾或浮尘,B,
204,206,10108026,第206题	试题编号：10108026,形成烟幕,不仅要有烟源,而且还要有适合的天气条件即()。,高度较高的逆温层和高空相应的风向风速,高度较低的逆温层和近地面层中适宜的风向风速,高度较高的逆温层和近地面层中适宜的风向风速,高度较高的逆温层和近地面层中较大的风速,B,
205,207,10108027,第207题	试题编号：10108027,冬季均压区和鞍形场中容易产生辐射雾的动力原因是()。,水汽充沛,辐合上升气流较强,风力微弱,云较多,A,
206,208,20108028,第208题	试题编号：20108028,当机场被积雪覆盖时,跑道能见度不受影响。,T,F,,,F,
207,209,20108029,第209题	试题编号：20108029,在飞行活动中所谓"机场关闭",就气象条件而言,主要是以风和能见度为标准。,T,F,,,F,
208,210,20108030,第210题	试题编号：20108030,周围多山的机场因净空条件差,最低气象条件比平原地区的机场低。,T,F,,,F,
209,211,20108031,第211题	试题编号：20108031,当降落站报告有大雾,机场能见度不好时,可认为机场近地层大气是不稳定的。,T,F,,,F,
210,212,10109001,第212题	试题编号：10109001,单个微下击暴流的估计维持时间是()。,从下冲气流撞击地面到消散需要5小时,从下冲气流撞击地面到消散需要10小时,从下冲气流撞击地面到消散需要15小时,从下冲气流撞击地面到消散很少超过15分钟,D,
211,213,10109002,第213题	试题编号：10109002,能在雷暴云下方的地面上或地面附近引起灾害性大风的局地强下降气流称为()。,下沉气流,下击暴流,飑线,低空急流,B,
212,214,10109003,第214题	试题编号：10109003,飞机在空中遭雷雨的危害程度和时间长短与飞机通过()有关。,该雷暴区的大小,该雷暴区的部位,该雷暴区的强度,以上全对,D,
213,215,10109004,第215题	试题编号：10109004,下击暴流所造成的强的()，对飞行安全构成了极大的威胁。,暴雨,冰雹,低空风切变,积冰,C,
214,216,10109005,第216题	试题编号：10109005,下击暴流在地面附近造成的()性的阵风,可产生很强的水平风切变,对飞机的起飞和降落影响很大。,辐散,辐合,聚散,聚合,A,
215,217,10109006,第217题	试题编号：10109006,如果报告航路上有大到暴雨发生,那么可以断定航路上有()云存在。,Cb,Cu,St,Sc,A,
216,218,10109007,第218题	试题编号：10109007,()是积雨云进入成熟期的标志。,积雨云顶部砧状云的出现,云体快速增长,云体内为一致的高速上升气流,云顶高度在6000瓜以下,A,
217,219,10109008,第219题	试题编号：10109008,在积雨云的生命周期中，()的特征是云体内全部为下降气流。,发展阶段,成熟阶段,消散阶段,积云阶段,C,
218,220,10109009,第220题	试题编号：10109009,在成熟积雨云中,下降气流是危险的,因为()。,会诱发闪电,会诱发飞机积冰,会影响飞行能见度,下沉中向四周扩散和云外向内辐合气流形成切变,危害飞行安全,D,
219,221,10109010,第221题	试题编号：10109010,热力性雷暴的产生与()。,大气层结稳定度、湿度及地表加热程度有关,当时的地面风速有关,空中是否有云有关,锋面移动速度有关,A,
220,222,10109011,第222题	试题编号：10109011,()是指在炎热季节里由多个积雨云群组成的狭窄带有强风的强对流天气带。,冷锋,龙卷,飑线,风切变,C,
221,223,10109012,第223题	试题编号：10109012,雷暴的一种移动方式是漂移,另一种移动方式是()。,传导,传播,震动,流动,B,
222,224,10109013,第224题	试题编号：10109013,在雷暴单体生命期中,对飞行危害最大的阶段是()。,积云阶段,成熟阶段,消亡阶段,初生阶段,B,
223,225,10109014,第225题	试题编号：10109014,在成熟阶段的雷暴单体中()。,盛行上升气流,盛行下沉气流,升降气流并存,盛行水平气流,C,
224,226,10109015,第226题	试题编号：10109015,热雷暴形成的原因是()。,天气系统作用,地表增热不均,地形抬升作用,温度平流作用,B,
225,227,10109016,第227题	试题编号：10109016,夏季的冷锋雷暴是由于()而形成的。,空气潮湿、不稳定,温度较高,云层较厚,地面蒸发量大,A,
226,228,10109017,第228题	试题编号：10109017,形成雷暴的基本条件之一是()。,地面有高压存在,有足够冲击力,有足够的凝结核,有下沉气流存在,B,
227,229,10109018,第229题	试题编号：10109018,雷暴中有下冲气流的目视征兆是()。,有降水和地空闪电,有浓积云相伴随,有滚轴状云或雨幡,有砧状云顶,C,
228,230,10109019,第230题	试题编号：10109019,冷锋雷暴是冷空气强烈冲击()而形成的。,不稳定系统,暖湿空气,暖湿不稳定空气,积雨云,C,
229,231,10109020,第231题	试题编号：10109020,在山区,是否有雷暴产生主要看()。,20~30km,15km,30km以上,10km,A,
230,233,10109022,第233题	试题编号：10109022,在风暴的传播过程中()。,随着风暴的传播,风暴单体会逐渐减弱消亡,随着风暴的传播,风暴单体不断加强,随着风暴的传播,旧的单体会不断减弱消亡,新的单体又不断生成,随着风暴的传播,风暴单体会逐渐新生,C,
231,234,10109023,第234题	试题编号：10109023,飑线最突出的特征是()。,飑线之前有中尺度雷暴高压,飑线之后有中尺度雷暴高压,飑线之后有前导低压,飑线前后均有高压,B,
232,235,10109024,第235题	试题编号：10109024,雷暴来临之前,地面风是向()吹去。,雷暴云区,雷暴的前方,雷暴前进的右方,雷暴四周,A,
233,236,10109025,第236题	试题编号：10109025,雷暴在积云阶段所具有的特征是()。,滚轴状云低,云中充满上升气流,频繁的闪电,升降气流并存,B,
234,237,10109026,第237题	试题编号：10109026,下述何种天气现象标志着雷暴已进入成熟阶段()。,地面开始下雨,出现了强上升气流,云体增长速度达到最大,出现了混乱的低云,A,
235,238,10109027,第238题	试题编号：10109027,强烈雷暴中的多单体风暴,其结构是()。,由多个处于不同发展阶段的雷暴单体所组成,这些单体有组织地排成一列,形成一个有机的整体,由几个雷暴单体簇集而成,这些单体往往处于不同的发展阶段,由一个大而强的单体构成,由几个超级单体风暴组成,A,
236,239,10109028,第239题	试题编号；10109028,飞机在云中绕飞雷雨时应具备的条件是()。,有雷达的航空器或者根据气象雷达探测能够确切判明雷雨位置,大中型航空器,距离积雨云和浓积云80kni以上,飞行真实高度在1000m以上,A,
237,240,10109029,第240题	试题编号：10109029,昼间从云下目视绕飞雷雨,航空器飞行的真实高度距最高障碍物的最低垂直间隔在山地。,不得低于400m,不得低于500m,不得低于600m,不得低于1000m,C,
238,241,10109030,第241题	试题编号：10109030,()天气系统产生的雷暴常常是白天减弱消散,晚上形成和增强。,空中槽,切变线,暖锋,静止锋,太平洋副热带高压,冷锋,B,
239,242,10109031,第242题	试题编号：10109031,雷达显示器上出现块状鲜艳回波时,常是()的回波。,层状云,风切变,波状云,雷暴,D,
240,243,10109032,第243题	试题编号：10109032,积雨云中上升气流中的水汽凝结成水时,()。,促使云中水汽减少,会释放热量,会从周围大气中吸收热量,会使云体消散,B,
241,244,10109033,第244题	试题编号：10109033,在积雨云的生命周期中,发展阶段的特征是()。,频繁的闪电,持续一致的上升气流,云体内气流有升有降,天空出现伪卷云,B,
242,245,10109034,第245题	试题编号：10109034,积雨云的移动会引起气压的变化,在气压涌升期将会发生()。,强烈的雷电、强烈的下冲气流、强烈的降水,气压升高天气暂时变好,云体消散,降水停止,A,
243,246,10109035,第246题	试题编号：10109035,最容易产生龙卷母云的天气系统类型是()。,850hPa图上的切变线,热低压,急行冷锋或鹿线,地面冷高压,C,
244,247,10109036,第247题	试题编号：10109036,()是产生系统性雷暴的天气系统。,冷涡,大陆冷高压,热低压,副热带高压,A,
245,248,10109037,第248题	试题编号：10109037,因为晚上(),所以静止锋雷暴通常在晚上加强。,冷空气活跃,空气水汽含量多,云顶辐射降温,近地层气温降低,C,
246,249,10109038,第249题	试题编号：10109038,雷暴中心经过一地时,该地气象要素变化规律是温度下降、()、风向突变。,湿度上升,湿度下降,气压上升,气压下降,C,
247,250,10109039,第250题	试题编号；10109039,一般来说,-20°C层与层之间的厚度与产生冰雹的关系是()。,基本上没有关系,厚度较大时,有利于产生冰雹,厚度较小时,有利于产生冰雹,厚度居中时,有利于产生冰雹,C,
248,251,10109040,第251题	试题编号：10109040,听到第一声雷声大致表明雷暴云顶出现冰晶化现象,据此可判断云顶已达到()附近。,-5℃,-10℃,-20℃,-30℃,C,
249,252,10109041,第252题	试题编号：10109041,积雨云在红外云图上为白色,而在可见光云图上为浅灰至灰色,说明云体最有可能()。,正在发展,刚刚成熟,云顶和下部云体脱离,云体瓦解,转变为雨层云,C,
250,253,10109042,第253题	试题编号：10109042,在航线飞行中,如遇前方有数量不多的热雷暴或地形雷暴时,通常可以()。,从云的上风方向绕过,从云的下风方向绕过,从云下通过,从云中穿过,A,
251,254,10109043,第254题	试题编号：10109043,在微下冲气流遭遇中,最大下降气流可能强达()。,3m/s(28km/h),5m/s(82km/h),30m/s(108km/h),4m/s(14km/h),C,
252,255,10109044,第255题	试题编号：10109044,当机场上空有CB活动时,如果跑道周围盛行很强的顺时针方向转动的外流气流,则表明了()的信息。,位于跑道中心有一下冲气流区,跑道处于上升气流区中,机场将发生大雾天气,锋面将移动到本场上空,A,
253,256,10109045,第256题	试题编号：10109045,飑线常常在()发展。,冷锋后的冷气团中,冷锋前的暖气团中,暖锋前的冷气团中,副热带高压中,B,
254,257,10109046,第257题	试题编号：10109046,当积雨云云顶高度在8000m左右时,航空器最好距离云体()。,2km绕过,8km绕过,3km绕过,1km绕过,B,
255,258,20109047,第258题	试题编号：20109047,雷暴云下的雨幡说明雷暴云中上升气流较强,无强烈下降气流。,T,F,,,F,
256,259,20109048,第259题	试题编号：20109048,一个雷暴云可以由几个雷暴单体构成。,T,F,,,T,
257,260,20109049,第260题	试题编号：20109049,根据冲击力的大小,可将雷暴分为普通雷暴和强烈雷暴。,T,F,,,F,
258,261,20109050,第261题	试题编号：20109050,由于消散阶段的雷暴单体已经进入最后阶段,因此对飞行的影响很小。,T,F,,,F,
259,262,20109051,第262题	试题编号：20109051,容易产生雷暴的天气系统包括锋面、东北冷涡、西南涡、空中槽线切变线、台风倒槽等。,T,F,,,T,
260,263,20109052,第263题	试题编号：20109052,积雨云顶部的卷云砧的大小与离高空急流轴的距离有关,离急流轴越近,卷云砧越不明显。,T,F,,,F,
261,264,20109053,第264题	试题编号：20109053,产生冰雹的雷暴一定是强烈雷暴。,T,F,,,T,
262,265,20109054,第265题	试题编号：20109054,航线上未穿过任何天气系统,但飞机还是可能会碰到雷暴。,T,F,,,T,
263,266,20109055,第266题	试题编号：20109055,飞机在遇到下击暴流时,其性能总是先变好。,T,F,,,T,
264,267,20109056,第267题	试题编号：20109056,在绕飞雷暴云时,应选择雷暴云的上风方向绕过。,T,F,,,T,
265,268,20109057,第268题	试题编号：20109057,飞机在雷暴旺盛期比在雷暴消散阶段早期更易遭闪击。,T,F,,,F,
266,269,20109058,第269题	试题编号：20109058,我国雷暴出现最早的地区是湘西山地。,T,F,,,T,
267,270,20109059,第270题	试题编号：20109059,出现在我国的飑线都是自西向东移动的。,T,F,,,F,
268,271,20109060,第271题	试题编号：20109060,在强烈发展的积雨云中处处都会生成冰雹。,T,F,,,F,
269,272,20109061,第272题	试题编号：20109061,一般当云顶发展到-10℃等温线高度以上时,就会出现闪电和雷鸣,随着云顶增高,闪电和雷鸣便更加频繁。,T,F,,,F,
270,273,20109062,第273题	试题编号：20109062,航空器在遇到强雷暴时,可以从云底穿过。,T,F,,,F,
271,274,10110001,第274题	试题编号：10110001,()的风切变情况导致空速增大。,增大垂直风速,增大顺风,增大逆风,减小逆风,C,
272,275,10110002,第275题	试题编号：10110002,()的风切变情况会导致空速的损失。,垂直气流引起,逆风减小和顺风增大,增大逆风,减小顺风,B,
273,276,10110003,第276题	试题编号：10110003,对于固定机翼的航空器,在起飞期间当遇到强度增加的顺风切变时()。,起飞滑跑距离会增加,起飞滑跑距离会缩短,起飞后上升力增加,会突然跃升的现象,A,
274,277,10110004,第277题	试题编号：10110004,对于固定机翼的航空器,在起飞期间当遇到强度增加的逆风切变时()。,起飞滑跑距离会增加,起飞滑跑距离会缩短,起飞后上升力增加,会突然跃升的现象,B,
275,278,10110005,第278题	试题编号：10110005,飞机从大逆风进入小逆风时所遇到的风切变时()。,顺风切变,逆风切变,低空风切变,气旋性切变,A,
276,280,10110007,第280题	试题编号：10110007,低空风切变是指()以下空中风向风速的明显改变。,600m,300m,200m,100m,A,
277,281,10110008,第281题	试题编号：10110008,根据气象台的观测,跑道南头的风为西风,跑道北头的风为西南风,这种风切变是()。,水平风的垂直切变,水平风的水平切变,逆风切变,垂直风切变,B,
278,282,10110009,第282题	试题编号：10110009,较强的低空风切变多产生于下列何种天气系统中()。,海陆风和热低压,气旋和低涡,槽线和切变线,锋面和雷暴,D,
279,283,10110010,第283题	试题编号：10110010,在处于雷暴区边缘的机场起飞或着陆时,要特别注意下述何种天气()。,冰雹和暴雨,积冰和雷电,低能见度和低云,低空风切变,D,
280,284,10110011,第284题	试题编号：10110011,与雷暴有关的低空风切边引起的最大危害区出现在()。,快速移动的积雨云前方,砧状云正下方,积雨云后部,积雨云顶上空,积雨云侧后部,A,
281,285,10110012,第285题	试题编号：10110012,雷达回波显示的龙卷母云钩状回波中心空白区是()。,有利于飞行的区域,气流稳定区,无风切变区,强烈的风切变区,D,
282,286,10110013,第286题	试题编号：10110013,如报告跑道入口处有雷暴活动，此时着陆最可能受到的影响是()。,低空风切变,大雾,霾,锋面,A,
283,287,10110014,第287题	试题编号：10110014,中等强度以上低空风切变发生时,重要的天气背景是()。,600m以上空中有低压或低压槽活动,空中有强大的雷暴群活动或近地面层有强逆温层出现,地面有冷高压中心活动,地面有暖高压中心活动,B,
284,288,10110015,第288题	试题编号：10110015,在下面几种情况下能产生低空风切变的是()。,高空急流里的风速差异,积雨云中开始出现降水,微风吹过跑道附近的高大建筑物,产生高积云的空中波动气流,B,
285,289,10110016,第289题	试题编号：10110016,伴随雷暴的风切变,其出现位置的最正确的说法是()。,出现在雷暴单体的前方右侧,出现在雷暴云顶四周,出现在雷暴单体移动的前方和单体的正下方,出现在雷暴单体的所有侧面和单体的正下方,D,
286,290,10110017,第290题	试题编号：10110017,低空逆温层中,发生风切变的必要条件是()。,气温直减率＞0,近地面静风或微风,逆温层以上通常有大于15m/s的强风,逆温层上下边界风速不应有突变,逆温层上层风速要小,B,
287,291,10110018,第291题	试题编号：10110018,可能发生强烈风切变的区域是()。,风速在100m/s以上的急流轴的低压一侧,两条相邻等温线相距100km的区域,地面冷高压中心,副热带高压中心,A,
288,292,20110019,第292题	试题编号：20110019,飞机在遭遇风切变时,空速表指示一般都会发生明显变化。,T,F,,,T,
289,293,20110020,第293题	试题编号：20110020,低空风切变对大型飞机影响较大,对小型飞机没有影响。,T,F,,,F,
290,294,20110021,第294题	试题编号：20110021,在飞机着陆进入顺风切变区时,如果风切变层相对于跑道的高度较高,飞行员可以进行修正,使飞机正常下滑着陆。,T,F,,,T,
291,295,20110022,第295题	试题编号：20110022,对飞行危害最大的低空风切变通常是指近地面1000m以下的风切变。,T,F,,,F,
292,296,20110023,第296题	试题编号：20110023,飞机在遭遇风切变时,空速表指示一般都会发生明显变化。,T,F,,,T,
293,297,20110024,第297题	试题编号：20110024,据统计,低空风切变与雷暴关系密切,因此风切变飞行事故主要出现在夏季。,T,F,,,F,
294,298,20110025,第298题	试题编号：20110025,飞机从大逆风进入小逆风时所遇到的风切变是逆风切变。,T,F,,,F,
295,299,20110026,第299题	试题编号：20110026,与雷暴有关的低空风切变引起的最大危害区出现在快速移动的积雨云后方。,T,F,,,F,
296,300,10111001,第300题	试题编号：10111001,飞机积冰强度与气象条件和飞机的空气动力特性有关,主要与()因素有关。,云中过冷水含量,过冷水滴的大小,飞行速度及飞机积冰部位的曲率半径,以上全对,D,
297,301,10111002,第301题	试题编号：10111002,()易造成飞机积冰。,降水,降雪,过冷却水滴,湿度大,C,
298,302,10111003,第302题	试题编号：10111003,积冰强度的大小与()有关。,低云量,空气密度,降水量,云中含水量,D,
299,303,10111004,第303题	试题编号：10111004,强积冰多发生在云中温度为()的区域内。,4℃至-10℃,0℃至-10℃,0℃至-15℃,0℃至-20℃,B,
300,304,10111005,第304题	试题编号：10111005,无()设备或()的航空器,禁止在结冰区内飞行。,防冰,防冰设备有故障,加热,加热设备有故障,除霜,除霜设备有故障,救生,救生设备有故障,A,
301,305,10111006,第305题	试题编号：10111006,积冰种类有明冰、雾淞、毛冰和霜四种,其中()对飞行的危害较大,能够改变飞机的空气动力特性。,明冰,雾淞,毛冰,霜,A,
302,306,10111007,第306题	试题编号：10111007,航空器积冰的产生,主要是由于大气中存在()。,水滴,冰晶,过冷水滴,凝结核,C,
303,307,10111008,第307题	试题编号：10111008,一架飞机在雨层云中飞行时遇到轻度积冰,此时飞机上大气温度计读数为-15℃,要脱离积冰区最好的方法是。,下降高度,改变航线,上升高度,保持航向和高度,C,
304,308,10111009,第308题	试题编号：10111009,当飞机低速穿过温度为-20℃左右云滴较小的云中时,常形成()。,雾淞,明冰,毛冰,槽形积冰,A,
305,309,10111010,第309题	试题编号：10111010,飞机积冰主要发生在()范围内。,云中温度4℃至-40℃,云中温度露点差小于,云中温度4℃至-40℃,云中温度露点差大于7℃,云中温度至-20℃,云中温度露点差小于7℃,云中温度0℃至-20℃,云中温度露点差大于7℃,C,
306,310,10111011,第310题	试题编号：10111011,在以下何种情况下会碰到较强的飞机积冰()。,在积雨云的旁边飞行,在层云和层积云中飞行,在锋线附近的雨层云中长时间飞行,在积云的云内下部飞行,C,
307,311,10111012,第311题	试题编号：10111012,在飞行中遇到飞机积冰时,飞行员应注意()。,下降高度,减小空速,及时有力地修正飞行姿态的偏差,柔和操作,保持平飞姿态和飞行高度,及时调整飞机马力,严格保持飞行速度和高度,C,
308,312,10111013,第312题	试题编号：10111013,()是云中有过冷水的特征。,快速飞行的航空器上迅速形成明冰,云体中水滴直径很大,云中有冰晶存在,云中有水滴存在,A,
309,313,10111014,第313题	试题编号：10111014,最容易发生严重积冰的云中温度范围是()。,-2℃至-8℃,-18℃至-26℃,4℃至-2℃,0℃至-2℃,A,
310,314,10111015,第314题	试题编号：10111015,对流层中的积冰与飞行高度和云中含水量有关,因而中度以上积冰通常发生在3000m〜5000m高度上锋区附近的()云区中.,Ci,Cu,Cs,Ns,D,
311,315,10111016,第315题	试题编号：10111016,单发螺旋浆式航空器在可发生强积冰的环境中,(),积冰强度越大。,飞行速度越高,飞行速度越低,云中含水量越少,空中风越大,A,
312,316,10111017,第316题	试题编号：10111017,如果你飞进有雨夹雪的降水中,应考虑到()。,已飞进暖锋之中,不会出现飞机积冰,在飞行的高度上气温低于0℃,会出现强积冰,在飞行的高度上空气下沉增温,使雪融化,在飞行的高度上气温高于0℃，但仍会出现强积冰,D,
313,317,10111018,第317题	试题编号：10111018,()会导致霜的形成。,凝聚面的温度在冰点以下,并且有小水滴落下,露水聚集在凝聚面上冻结,空气中水汽在凝聚面凝华,凝聚面的温度在冰点以上,使冻结在凝聚面上的冰晶融化,C,
314,318,20111019,第318题	试题编号：20111019,积冰能改变飞机空气动力特性。,T,F,,,T,
315,319,20111020,第319题	试题编号：20111020,积冰对飞行的影响程度,除了与积冰类型有关外,主要取决于积冰强度。,T,F,,,T,
316,320,20111021,第320题	试题编号：20111021,飞机在-20℃左右的云中飞行时碰到飞机积冰,可以向上脱离积冰区。,T,F,,,T,
317,321,20111022,第321题	试题编号：20111022,毛冰通常是在冻雨中或在大水滴组成的温度为0至-10℃的过冷云中飞行时形成的。,T,F,,,F,
318,322,20111023,第322题	试题编号：20111023,在积雨云的云内下部，因为温度在0℃以上，所以没有积冰。,T,F,,,F,
319,323,20111024,第323题	试题编号：20111024,飞行中，中等强度以上积冰形成的必要条件是云中的雨滴大。,T,F,,,F,
320,324,10112001,第324题	试题编号：10112001,()是飞机飞行时产生的一对绕着翼尖的方向相反的闭合涡旋。,湍涡,尾涡,翼涡,低涡,B,
321,325,10112002,第325题	试题编号：10112002,在飞行中遇到飞机颠簸时,飞行员应注意()。,柔和操作,保持平飞姿态,及时调整飞机马力,严格保持飞行速度和高度,下降高度,增大空速,以上操作都可以,A,
322,326,10112003,第326题	试题编号：10112003,只引起轻微、快速、有时有节奏的颠簸时,应当报告为()的紊流。,偶尔轻微摇晃,中度紊流,中度摇晃,严重颠簸,A,
323,327,10112004,第327题	试题编号：10112004,当紊流引起高度和/或姿态改变,但航空器一直保持着有效地控制时,应当报告为连续()的紊流。,严重,中度,轻度,轻微,B,
324,328,10112005,第328题	试题编号：10112005,在7000m以上,经常遇到的乱流是()。,热力乱流,动力乱流,晴空乱流,飞机尾流,C,
325,329,10112006,第329题	试题编号：10112006,统计结果表明,颠簸层持续时间一般不超过()。,二十小时,二十分钟,一天,一周,B,
326,330,10112007,第330题	试题编号：10112007,航空器在飞行过程中产生颠簸,是因为遇到了()。,锋面云系,扰动气流,层状云系,降水,B,
327,331,10112008,第331题	试题编号：10112008,高原山区天气的显著特点是(),温度高,湿度大,乱流强烈,气压高,C,
328,332,10112009,第332题	试题编号：10112009,空气()与飞机尾迹有重大关系,气层(),越有利于飞机尾迹的形成。,湿度；湿度越小,湿度；湿度越大,温度；温度越小,温度；温度越大,B,
329,333,10112010,第333题	试题编号：10112010,如在飞行高度上遇到强烈紊流,飞机脱离办法是()。,增大空速,减小空速,改变高度,不予理会,C,
330,334,10112011,第334题	试题编号：10112011,在()情况下,要特别注意航空器尾流的消散时间。,逆风,顺风,侧风,静风,D,
331,335,10112012,第335题	试题编号：10112012,在对流层顶倾斜度较大的地区,距离对流层顶1-1.5km高度下,常出现()。,卷云,急流,升降气流,湍流,D,
332,336,10112013,第336题	试题编号：10112013,气层的稳定度减小时,飞机颠簸()。,消失,减弱,增强,无变化,C,
333,337,10112014,第337题	试题编号：10112014,与山地波相关的晴空紊流可延伸到()。,沿山的下风方向数百千米以上,向山的垂直上方延伸数十千米,沿山的上方方向数百千米以上,沿山的下风方向数千米以上,A,
334,338,10112015,第338题	试题编号：10112015,下面何种地区飞行可能会出现强烈的飞机颠簸()。,逆温层的下面,积雨云云体的边缘,暖锋附近,层状云中,B,
335,339,10112016,第339题	试题编号：10112016,在何种天气条件下进行飞行时容易碰到飞机颠簸()。,有轻雾,刚下过小雪,晴天有积云,阴天有小雨,C,
